Library Name,Library Photo,Phone Number,Bus Route,Monday Opening Time,Monday Closing Time,Tuesday Opening Time,Tuesday Closing Time,Wednesday Opening Time,Wednesday Closing Time,Thursday Opening Time,Thursday Closing Time,Friday Opening Time,Friday Closing Time,Saturday Opening Time ,Saturday Closing Time,Sunday Opening Time,Sunday Closing Time,Books and Materials,Downloadable Materials,Streaming Materials,Story Times,Conference Center,Meeting Rooms,Art Gallery,Public Computers,Public Internet,Wireless,Group Study Rooms,Copy Machines,Seed Exchange,Studio NPL,Restrooms,Book Drop,Notes,Location
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,"TN
(35.681402, -85.774444)"
Main,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_main.jpg),615-862-5800,Walking distance from Music City Central,9:00AM,6:00 PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,6:00PM,9:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"615 Church Street
Nashville, TN 37219
(36.162414, -86.781895)"
Bellevue,View Photo (http://dataimages.nashville.gov/Metro_Libraries/new-bellevue_cropped.jpg),615-862-5854,"#24x, #31,# 5",10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"720 Baugh Road
Nashville, TN 37221
(36.069242, -86.935419)"
Bordeaux,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_BX.jpg),615-862-5856,#22,10:00AM,8:00 PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"4000 Clarksville Pike
Nashville, TN 37218
(36.211684, -86.838746)"
Donelson,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_DO.jpg),615-862-5859,#6,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, , ,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"2315 Lebanon Road
Nashville, TN 37214
(36.168936, -86.683548)"
East,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_E.jpg),615-862-5860,"#20, #26",10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"206 Gallatin Avenue
Nashville, TN 37206
(36.17912, -86.750438)"
Edgehill,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EH.jpg),615-862-5861,#17,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1409 12th Avenue, South
Nashville, TN 37203
(36.138982, -86.787715)"
Edmondson Pike,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_EP.jpg),615-880-3957,"#37, #72",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"CLOSED for renovation until May 2016
Call library to confirm hours on holidays and in the event of severe weather.","5501 Edmondson Pike
Nashville, TN 37211
(36.044746, -86.744004)"
Goodlettsville,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_go_new_small.jpg),615-862-5862,,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, ,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday. Call library to confirm hours on holidays and in the event of severe weather.,"205 Rivergate Parkway
Goodlettsville, TN 37072
(36.314643, -86.709932)"
Green Hills,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_GH.jpg),615-862-5863,#7,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"3701 Benham Avenue
Nashville, TN 37215
(36.109283, -86.808739)"
Hadley Park,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_HP.jpg),615-862-5865,#29,10:00AM,6:00 PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM, ,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1039 28th Ave., North
Nashville, TN 37208
(36.166888, -86.820526)"
Hermitage ,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_HM.jpg),615-880-3951,#6,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"3700 James Kay Lane
Hermitage, TN 370706
(36.177515, -86.61674)"
Southeast ,View Photo (http://dataimages.nashville.gov/Metro_Libraries/SE_exterior.jpg),615-862-5871,"#15, #55 BRT",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"5260 Hickory Hollow Parkway
Antioch, TN 37013
(36.048391, -86.657027)"
Watkins Park,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_wp_int.jpg),615-862-5872,"#19, #25",10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,,,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,"CLOSED for renovation until June 2016
Call library to confirm hours on holidays and in the event of severe weather.","612 17th Avenue North
Nashville, TN 37203
(36.16275, -86.80084)"
Inglewood,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_ING.jpg),615-862-5866,"#26 Local, #56 BRT",10:00AM,6:00 PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM, ,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"4312 Gallatin Pike
Nashville, TN 37216
(36.225814, -86.725447)"
Looby,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_LO.jpg),615-862-5867,#9,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"2301 Rosa L. Parks Boulevard
Nashville, TN 37228
(36.193625, -86.808126)"
Madison,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_ma.jpg),615-862-5868,"#26, #56, #76",10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,8:00PM,10:00AM,6:00PM,10:00AM,5:00 PM,2:00PM,5:00PM,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Call library to confirm hours on holidays and in the event of severe weather.,"610 Gallatin Pike South
Madison, TN 37115
(36.257054, -86.714041)"
North,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_NO.jpg),615-862-5858,"#29, #42",10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1001 Monroe Street
Nashville, TN 37208
(36.174413, -86.795942)"
Old Hickory,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_OH.jpg),615-862-5869,#27,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"1010 Jones Street
Old Hickokry, TN 37138
(36.260014, -86.645958)"
Pruitt,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_PR.jpg),615-862-5985,#25,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,10:00AM,6:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"117 Charles E. Davis Boulevard
Nashville, TN 37210
(36.151725, -86.762036)"
Richland Park,View Photo (http://dataimages.nashville.gov/Metro_Libraries/LOC_RP.jpg),615-862-5870,#10,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"4711 Charlotte Avenue
Nashville, TN 37209
(36.152105, -86.84438)"
Thompson Lane,View Photo (http://dataimages.nashville.gov/Metro_Libraries/loc_tl_int.jpg),615-862-5873,#12,10:00AM,6:00PM,12:00PM,8:00PM,10:00AM,6:00PM,12:00PM,8:00PM,,,10:00AM,5:00 PM,,,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Closed on Friday and Sunday.  Call library to confirm hours on holidays and in the event of severe weather.,"380 Thompson Lane
Nashville, TN 37211
(36.110801, -86.743292)"
